vote date,original question,original question,coded options
1857-12-07 00:00:00,"TO ELECT A CLERK FOR THE 35TH HOUSE.  VOTES FOR J.C. ALLEN ARE CODED 1; FOR B.G. BROWN, ARE CODED 2; FOR WILLIAM CULLOM ARE CODED 5; FOR JOHN M. SULLIVAN, ARE CODED 6.",TO ELECT A CLERK FOR THE 35TH HOUSE.,1:J.C. ALLEN;2:B.G. BROWN;5:WILLIAM CULLOM;6:JOHN M. SULLIVAN
1857-12-07 00:00:00,TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR JAMES L. ORE (DEM) ARE CODED 1; VOTES FOR G.A. GROW (REP) ARE CODED 2; VOTES FOR J.K. ZALLICOFFER (DEM) ARE CODED 5; VOTES FOR L. D. CAMPBELL (W) ARE CODED 6.,TO ELECT A SPEAKER OF THE HOUSE.,1:JAMES L. ORE (DEM);2:G.A. GROW (REP);5:J.K. ZALLICOFFER (DEM);6:L. D. CAMPBELL (W)
1857-12-07 00:00:00,"TO ELECT A SEARGEANT-AT-ARMS.  VOTES FOR A. J. GLOSSBRENNER ARE CODED AS 1; FOR CHARLES P. BABCOCK, AS 2.",TO ELECT A SEARGEANT-AT-ARMS.,1:A. J. GLOSSBRENNER;2:CHARLES P. BABCOCK
1857-12-09 00:00:00,TO ELECT A PUBLIC PRINTER.  VOTES FOR J.B. STEEDMAN ARE CODED AS 1; FOR G.M. WESTON AS 2; FOR G. SEATON AS 5; FOR R. CAWTHON AS 6.,TO ELECT A PUBLIC PRINTER.,1:J.B. STEEDMAN;2:G.M. WESTON;5:G. SEATON;6:R. CAWTHON
1858-05-18 00:00:00,"ELECTION OF DOORKEEPER.  VOTES FOR WRIGHT ARE CODED AS 1, FOR FLETCHER AS 2, FOR CHASE AS 5, FOR WALKER AS 6, AND FOR THE REST AS 7.",ELECTION OF DOORKEEPER.,1:WRIGHT;2:FLETCHER;5:CHASE;6:WALKER;7:THE REST
1861-07-04 00:00:00,"TO ELECT A CLERK OF THE HOUSE OF REPRESENTATIVES FOR THE 37TH CONGRESS, E. ETHERIDGE, CODED 1, VS. J. W. FORNEY, CODED 2.  OTHER CANDIDATES INCLUDE J. E. DIETRICH, CODED 5, AND T. B. FLORENCE, CODED 6.",TO ELECT A CLERK OF THE HOUSE OF REPRESENTATIVES FOR THE 37TH CONGRESS.,1:E. ETHERIDGE;2:J. W. FORNEY;5:J. E. DIETRICH;6:T. B. FLORENCE
1861-07-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE FOR THE 37TH CONGRESS, G. A. GROW (REP.) VS. J. J. CRITTENDEN (UNIONIST).  VOTES FOR CRITTENDEN ARE CODED 1, VOTES FOR GROW ARE CODED 2.  OTHER CANDIDATES INCLUDE F. P. BLAIR (REP.), CODED 5; J. S. PHELPS (DEM.), CODED 6; C. L. VALLANDIGHAM (DEM.), CODED 7; AND E. CORNING (DEM.), S. S. COX (DEM.), W. A. RICHARDSON (DEM.) J. A. MC CLERNAND (DEM.), J. W. CRISFIELD (UNITED REPUBLI- CAN), C. B. CALVERT (UNION WHIG), H. B. WRIGHT (DEM.), J. W. NOELL (DEM.), AND G. PENDLETON (DEM.), ALL CODED 8.",TO ELECT A SPEAKER OF THE HOUSE FOR THE 37TH CONGRESS.,1:CRITTENDEN;2:GROW;5:F. P. BLAIR (REP.);6:J. S. PHELPS (DEM.);7:C. L. VALLANDIGHAM (DEM.);8:ALL OTHERS
1861-07-05 00:00:00,"TO ELECT A DOORKEEPER OF THE HOUSE OF REPRESENTATIVES FOR THE 37TH CONGRESS, O. GOODNOW, CODED 1 VS. J. DOREN, CODED 2.  OTHER CANDIDATES INCLUDE G. BASSETT, CODED 5, AND W. F. AIKEN, CODED 6.",TO ELECT A DOORKEEPER OF THE HOUSE OF REPRESENTATIVES FOR THE 37TH CONGRESS.,1:O. GOODNOW;2:J. DOREN;5:G. BASSETT;6:W. F. AIKEN
1861-07-05 00:00:00,"TO ELECT A POSTMASTER OF THE HOUSE OF REPRESENTATIVES FOR THE 37TH CONGRESS, W. S. KING, CODED 1, VS. J. LUCAS, CODED 2.  OTHER CANDIDATES INCLUDE W. A. JOHNSON, CODED 5, AND W. K. MAHAFFEY, CODED 6.",TO ELECT A POSTMASTER OF THE HOUSE OF REPRESENTATIVES FOR THE 37TH CONGRESS.,1:W. S. KING;2:J. LUCAS;5:W. A. JOHNSON;6:W. K. MAHAFFEY
1861-07-05 00:00:00,"TO ELECT A SERGEANT-AT-ARMS FOR THE HOUSE OF REPRESENTATIVES THE 37TH CONGRESS; E. BALL, CODED 1, VS. B. F. MUDGETT, CODED 2.  OTHER CANDIDATES INCLUDE A. J. GROSSBRUMER, CODED 5, W. L. SEABROOTH, CODED 6, AND W. G. FLOOD, CODED 7.",TO ELECT A SERGEANT-AT-ARMS FOR THE HOUSE OF REPRESENTATIVES THE 37TH CONGRESS.,1:E. BALL;2:B. F. MUDGETT;5:A. J. GROSSBRUMER;6:W. L. SEABROOTH;7:W. G. FLOOD
1863-12-07 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 38TH CONGRESS, S. COLFAX (REP.) V.S. S. COX (DEM.).  VOTES FOR COX ARE CODED 2, VOTES FOR COLFAX ARE CODED 1.  OTHER CANDIDATES INCLUDE J. DAWSON (DEM.) CODED 5, R. MALLORY (UNITED DEM.) CODED 6, H.G. STEBBINS (WAR DEM.) AND A. KING, F.P. BLAIR, JR., AND J. STILES, ALL CODED 8.","TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 38TH CONGRESS, S. COLFAX (REP.) V.S. S. COX (DEM.).",1:COLFAX;2:COX;5:J. DAWSON (DEM.);6:R. MALLORY (UNITED DEM.);8:ALL OTHERS
1863-12-08 00:00:00,"TO ELECT POSTMASTER OF THE HOUSE OF REPRESENTATIVES, W. KING, CODED 1, V.S. B. COINWELL, CODED 2.  OTHER CANDI- DATES ARE G. PELTON, CODED 5, AND O. KIDD, CODED 6.",TO ELECT POSTMASTER OF THE HOUSE OF REPRESENTATIVES.,1:W. KING;2:B. COINWELL;5:G. PELTON;6:O. KIDD
1863-12-08 00:00:00,"TO ELECT A DOORKEEPER OF THE HOUSE OF REPRESENTATIVES, I. GOODNOW, CODED 1, V.S. F. MCCLOSKEY, CODED 2.  OTHER CANDIDATES INCLUDE R. WILSON, CODED5, W. MURPHY, CODED 6, AND J. PRUETT, CODED 7.",TO ELECT A DOORKEEPER OF THE HOUSE OF REPRESENTATIVES.,1:I. GOODNOW;2:F. MCCLOSKEY;5:R. WILSON;6:W. MURPHY;7:J. PRUETT
1863-12-08 00:00:00,"TO ELECT A CLERK OF THE HOUSE OF REPRESENTATIVES FOR THE 38TH CONGRESS, E. MCPHERSON V.S. E. ETHERIDGE.  VOTES FOR MCPHERSON ARE CODED 1, VOTES FOR ETHERIDGE ARE CODED 2.","TO ELECT A CLERK OF THE HOUSE OF REPRESENTATIVES FOR THE 38TH CONGRESS, E. MCPHERSON V.S. E. ETHERIDGE.",1:MCPHERSON;2:ETHERIDGE
1863-12-08 00:00:00,"TO ELECT A SERGEANT-AT-ARMS OF THE HOUSE OF REPRESENTATIVES, A. ORDWAY, CODED 1, V.S. A. GLOSSBRENNER, CODED 2.  OTHER CANDIDATES ARE C. BENTON, CODED 5 AND E. BALL, CODED 6.",TO ELECT A SERGEANT-AT-ARMS OF THE HOUSE OF REPRESENTATIVES.,1:A. ORDWAY;2:A. GLOSSBRENNER;5:C. BENTON;6:E. BALL
1863-12-10 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE OF REPRESENTATIVES, W. CHANNING, CODED 1, V.S. J. HOPKINS, CODED 2.  OTHER CANDIDATES ARE R.MCGUIRE, CODED 5, W. BROWNLOW, CODED 6, T. STOCTON, CODED 7, AND N. PETTET AND D. GANS, BOTH CODED 8.",TO ELECT A CHAPLAIN OF THE HOUSE OF REPRESENTATIVES.,1:W. CHANNING;2:J. HOPKINS;5:R.MCGUIRE;6:W. BROWNLOW;7:T. STOCTON;8:N. PETTET/D. GANS
1865-12-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES. COLFAX, REPUBLICAN VERSUS BROOKS, DEMOCRAT.  VOTES FOR COLFAX ARE CODED 1 AND VOTES FOR BROOKS ARE CODED 2.",TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES.,1:COLFAX (REPUBLICAN);2:BROOKS (DEMOCRAT)
1865-12-05 00:00:00,"TO ELECT A CHAPLAIN FOR THE HOUSE OF REPRESENTATIVES FOR THE 39TH CONGRESS, MAJOR CANDIDATES WERE BOYTON CODED 1, STOCKTON CODED 2, ALL OTHERS CODED 8.",TO ELECT A CHAPLAIN FOR THE HOUSE OF REPRESENTATIVES FOR THE 39TH CONGRESS.,1:BOYTON;2:STOCKTON;8:ALL OTHERS
1867-03-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 40TH CONGRESS, S. COLFAX, WHIG, VERSUS S. MARSHALL, DEMOCRAT.   VOTES FOR MARSHALL ARE CODED 2, VOTES FOR COLFAX ARE CODED 1.",TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 40TH CONGRESS.,1:COLFAX (WHIG);2:MARSHALL (DEMOCRAT)
1867-03-05 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE.  BOYNTON VERSUS HEPWORTH. VOTES FOR BOYNTON ARE CODED 1, VOTES FOR HEPWORTH ARE CODED 6, VOTES FOR OTHERS ARE CODED 8.",TO ELECT A CHAPLAIN OF THE HOUSE.,1:BOYNTON;6:HEPWORTH;8:OTHERS
1868-12-07 00:00:00,"TO ELECT A DOORKEEPER OF THE HOUSE OF REPRESENTATIVES FOR THE THIRD SESSION OF THE 40TH CONGRESS, BUXTON VERSUS COLLINS.  VOTES FOR BUXTON ARE CODED 1, FOR COLLINS, 6, AND FOR JARDINE, 2.",TO ELECT A DOORKEEPER OF THE HOUSE OF REPRESENTATIVES FOR THE THIRD SESSION OF THE 40TH CONGRESS.,1:BUXTON;6:COLLINS;2:JARDINE
1869-03-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE, MICHAEL C. KERR, DEMOCRAT OF INDIANA (CODED ""1"") VS. JAMES G. BLAINE, REPUBLICAN OF MAINE (CODED ""2"").",TO ELECT A SPEAKER OF THE HOUSE.,"1:MICHAEL C. KERR, DEMOCRAT OF INDIANA;2:JAMES G. BLAINE, REPUBLICAN OF MAINE"
1869-03-05 00:00:00,"TO ELECT A CLERK, CHARLES CARRIGAN OF PENNSYLVANIA (CODED ""1"") VS. EDWARD MCPHERSON, REPUBLICAN OF PENNSYLVANIA (CODED ""2"").",TO ELECT A CLERK.,"1:CHARLES CARRIGAN OF PENNSYLVANIA;2:EDWARD MCPHERSON, REPUBLICAN OF PENNSYLVANIA"
1869-03-09 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE; REV. JOHN G. BUTLER (CODED ""1""), REV. JOHN CHAMBERS (CODED ""2""), REV. TILMAN JACKSON (CODED ""5""), REV. JAMES MCKINNEY ""CODED ""6"").",TO ELECT A CHAPLAIN OF THE HOUSE.,1:REV. JOHN G. BUTLER;2:REV. JOHN CHAMBERS;5:REV. TILMAN JACKSON;6:REV. JAMES MCKINNEY
1871-03-04 00:00:00,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, J.G. BLAINE (REP.), VERSUS G.W. MORGON (DEM.), VOTES FOR MORGAN ARE CODED AS 1, AND FOR BLAINE AS 2.","ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, J.G. BLAINE (REP.), VERSUS G.W. MORGON (DEM.).",1:MORGAN;2:BLAINE
1877-10-15 00:00:00,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, SAMUEL J. RANDALL (DEM.) AND JAMES A. GARFIELD (REP.). VOTES FOR RANDALL ARE CODED 1 AND VOTES FOR GARFIELD ARE CODED 2.","ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, SAMUEL J. RANDALL (DEM.) AND JAMES A. GARFIELD (REP.).",1:RANDALL;2:GARFIELD
1878-04-08 00:00:00,"TO ELECT A DOORKEEPER VOTES FOR CHARLES FRELDS CODED 1, FOR JAMES SHIELDS CODED 6.",TO ELECT A DOORKEEPER.,1:CHARLES FRELDS;6:JAMES SHIELDS
1879-03-18 00:00:00,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, S.J. RANDALL (DEM.) VERSUS J.A. GARFIELD, (REP.). MINOR CANDIDATES WERE H.B. WRIGHT (DEM.) AND W.D. KELLY (REP.), BOTH OF PENNSYLVANIA.  VOTES FOR RANDALL ARE CODED AS 1, FOR GARFIELD AS 2, FOR WRIGHT AS 5, AND FOR KELLY, AS 6.","ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, S.J. RANDALL (DEM.) VERSUS J.A. GARFIELD, (REP.). MINOR CANDIDATES WERE H.B. WRIGHT (DEM.) AND W.D. KELLY (REP.), BOTH OF PENNSYLVANIA.",1:RANDALL;2:GARFIELD;5:WRIGHT;6:KELLY
1881-12-05 00:00:00,"ELECTION OF A CLERK TO THE HOUSE FOR THE 47TH CONGRESS, IN WHICH CONNECTION THE FOLLOWING NOMINATIONS WERE MADE-- EDWARD MC PHERSON WHO WAS NOMINATED BY GEORGE M. ROBSON, GEORGE M ADAMS BY JOHN J. HOUSE, AND GILBERT DE LA MATYR BY THOMPSON H. MURCH.  VOTES FOR MC PHERSON ARE CODED AS 1, FOR ADAMS 2, AND DE LA MATYR AS 5.  (P. 16-1).","ELECTION OF A CLERK TO THE HOUSE FOR THE 47TH CONGRESS, IN WHICH CONNECTION THE FOLLOWING NOMINATIONS WERE MADE-- EDWARD MC PHERSON WHO WAS NOMINATED BY GEORGE M. ROBSON, GEORGE M ADAMS BY JOHN J. HOUSE, AND GILBERT DE LA MATYR BY THOMPSON H. MURCH. (P. 16-1).",1:MC PHERSON;2:ADAMS;5:DE LA MATYR
1881-12-05 00:00:00,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, WARREN KEIFER (REP.), SAMUEL J. RANDALL (DEM.) AND NICOLAS FORD (L.R.).  VOTES FOR KEIFER ARE CODED AS 1, FOR RANDALL AS 2, AND FOR FORD AS 5.  (P. 8-1).","ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES, WARREN KEIFER (REP.), SAMUEL J. RANDALL (DEM.) AND NICOLAS FORD (L.R.). (P. 8-1).",1:KEIFER;2:RANDALL;5:FORD
1883-12-03 00:00:00,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES J. G. CARLISLE (DEM.), J. W. KEIFER (REP.), E. S. LACEY (REP.), G. D. ROBINSON, J. W. WADSWORTH (REP.) J. S. WISE (READJ.).  VOTES ARE CODED AS CARLISLE (1), KEIFER (2), LACEY (5), ROBINSON (6), WADSWORTH (7) AND WISE (8).",ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES.,1:CARLISLE;2:KEIFER;5:LACEY;6:ROBINSON;7:WADSWORTH;8:WISE
1885-12-07 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR J. G. CARLISLE, DEM. FROM KY. ARE CODED 1.  VOTES FOR T. B. REED, REP. FROM MAINE ARE CODED 2.",TO ELECT A SPEAKER OF THE HOUSE.,1:CARLISLE;2:KEIFER;5:LACEY;6:ROBINSON;7:WADSWORTH;8:WISE
1887-12-05 00:00:00,"TO ELECT A SPEAKER FROM THE FOLLOWING CANDIDATES, JOHN G. CARLISLE (DEM), THOMAS B. REED (REP), AND CHARLES N. BRUMM (RG).  JOHN G. CARLISLE HAVING RECEIVED 163 VOTES WAS DULY ELECTED SPEAKER OF THE HOUSE.  VOTES FOR CARLISLE ARE CODED 1, FOR REED, 2, FOR BRUMM, 5.","TO ELECT A SPEAKER FROM THE FOLLOWING CANDIDATES, JOHN G. CARLISLE (DEM), THOMAS B. REED (REP), AND CHARLES N. BRUMM (RG). JOHN G. CARLISLE HAVING RECEIVED 163 VOTES WAS DULY ELECTED SPEAKER OF THE HOUSE.",1:CARLISLE;2:REED;5:BRUMM
1889-12-02 00:00:00,"TO ELECT THE SPEAKER OF THE HOUSE OF THE 52ND CONGRESS, VOTES FOR T.B. REED ARE CODED 1, FOR J.G. CARLISLE 2.",TO ELECT THE SPEAKER OF THE HOUSE OF THE 52ND CONGRESS.,1:T.B. REED;2:J.G. CARLISLE
1890-02-24 00:00:00,"TO DETERMINE THE LOCATION OF THE SITE FOR THE WORLD'S FAIR, VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.",TO DETERMINE THE LOCATION OF THE SITE FOR THE WORLD'S FAIR.,1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO DETERMINE THE LOCATION OF THE SITE FOR WORLD'S FAIR CELEBRATION.  VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.",TO DETERMINE THE LOCATION OF THE SITE FOR WORLD'S FAIR CELEBRATION.,1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO DETERMINE THE LOCATION OF SITE FOR WORLD'S FAIR, VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6, (NO AGREEMENT WAS REACHED ON THIS VOTE).",TO DETERMINE THE LOCATION OF SITE FOR WORLD'S FAIR. (NO AGREEMENT WAS REACHED ON THIS VOTE).,1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO DETERMINE LOCATION OF SITE FOR WORLD'S FAIR, VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.",TO DETERMINE LOCATION OF SITE FOR WORLD'S FAIR.,1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO DETERMINE THE LOCATION OF THE SITE FOR WORLDS FAIR, CELEBRATION OF THE 400TH ANNIVERSARY OF DISCOVERY OF AMERICA BY CHRISTOPHER COLUMBUS.  VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.","TO DETERMINE THE LOCATION OF THE SITE FOR WORLDS FAIR, CELEBRATION OF THE 400TH ANNIVERSARY OF DISCOVERY OF AMERICA BY CHRISTOPHER COLUMBUS.",1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO DETERMINE LOCATION OF SITE FOR WORLD'S FAIR, VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.",TO DETERMINE LOCATION OF SITE FOR WORLD'S FAIR.,1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO AGREE TO THE LOCATION OF THE WORLD'S FAIR, MAKING CHICAGO THE CHOICE AS THE CITY FOR HOLDING THE SAME, VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.  NP. 271-1).","TO AGREE TO THE LOCATION OF THE WORLD'S FAIR, MAKING CHICAGO THE CHOICE AS THE CITY FOR HOLDING THE SAME, NP. 271-1.",1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1890-02-24 00:00:00,"TO DETERMINE THE LOCATION OF THE SITE FOR WORLD'S FAIR, VOTES FOR NEW YORK ARE CODED 1, FOR CHICAGO, 2, FOR ST. LOUIS, 5, FOR WASHINGTON, 6.",TO DETERMINE THE LOCATION OF THE SITE FOR WORLD'S FAIR.,1:NEW YORK;2:CHICAGO;5:ST. LOUIS;6:WASHINGTON
1891-12-08 00:00:00,"TO ELECT A SPEAKER, CHARLES S. CRISP (DEM) VERSUS THOMAS B. REED (REP).  VOTES FOR CRISP ARE CODED 1, FOR REED ARE CODED 2. VOTES FOR THOMAS WATSON (POP-G) ARE CODED 5.).","TO ELECT A SPEAKER, CHARLES S. CRISP (DEM) VERSUS THOMAS B. REED (REP).",1:CRISP;2:REED;5:THOMAS WATSON (POP-G)
1893-08-07 00:00:00,TO ELECT THE SPEAKER OF THE HOUSE OF THE 53RD CONGRESS. VOTES FOR C. F. CRISP ARE CODED 1; VOTES FOR T. B. REED ARE CODED 2; VOTES FOR J. SIMPSON ARE CODED 5.,TO ELECT THE SPEAKER OF THE HOUSE OF THE 53RD CONGRESS.,1:C. F. CRISP;2:T. B. REED;5:J. SIMPSON
1895-12-02 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 54TH CONGRESS, T. B. REED (REP) VS. C. F. CRISP (DEM). VOTES FOR CRISP ARE CODED 1, VOTES FOR REED ARE CODED 2. OTHER CANDIDATES INCLUDE J. C. BELL (PEOPLE'S) CODED 5, AND O. B. CULBERSON (DEM) CODED 6.","TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 54TH CONGRESS, T. B. REED (REP) VS. C. F. CRISP (DEM).",1:CRISP;2:REED;5:J. C. BELL (PEOPLE'S);6:O. B. CULBERSON (DEM)
1897-03-15 00:00:00,TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR T.B. REED (R) ARE CODED AS 2.  VOTES FOR J.W. BAILEY (D) ARE CODED AS 1. VOTES FOR J.C. BILL ARE CODED AS 5.  VOTES FOR F.G. NEWLANDS ARE CODED AS 6.,TO ELECT A SPEAKER OF THE HOUSE.,1:J.W. BAILEY (D);2:T.B. REED (R);5:J.C. BILL;6:F.G. NEWLANDS
1899-12-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR J.D. RICHARDSON (DEM.) ARE CODED 1; VOTES 2 FOR D.B. HENDERSON (REP.) ARE CODED 3, VOTES FOR OTHER CANDIDATES ARE CODED 5.",TO ELECT A SPEAKER OF THE HOUSE.,1:J.D. RICHARDSON (DEM.);3:D.B. HENDERSON (REP.);5:OTHER CANDIDATES
1901-12-02 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE FOR THE 57TH CONGRESS VOTES FOR HENDERSON (REP) ARE CODED 2, FOR RICHARDSON (DEM) ARE CODED 1, FOR STARK, 5, AND FOR CUMMING, 6.",TO ELECT A SPEAKER OF THE HOUSE FOR THE 57TH CONGRESS.,1:RICHARDSON (DEM);2:HENDERSON (REP);5:STARK;6:CUMMING
1903-11-09 00:00:00,TO ELECT A SPEAKER OF THE HOUSE VOTES FOR J.G. CANNON ARE CODED 2. VOTES FOR J.S. WILLIAMS ARE CODED 1.,TO ELECT A SPEAKER OF THE HOUSE.,1:J.S. WILLIAMS;2:J.G. CANNON
1905-12-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE FOR THE 59TH CONGRESS. VOTES FOR J. G. CANNON (R) ARE CODED ""2"", AND VOTES FOR J. S. WILLIAMS (D) ARE CODED ""1"".",TO ELECT A SPEAKER OF THE HOUSE FOR THE 59TH CONGRESS.,1:J. S. WILLIAMS (D);2:J. G. CANNON (R)
1907-12-02 00:00:00,"TO ELECT THE SPEAKER OF THE 60TH HOUSE.  VOTES FOR CANNON, J.G. (REP) ARE CODED AS 2, VOTES FOR WILLIAMS, J.S. (DEM) ARE CODED AS 1.",TO ELECT THE SPEAKER OF THE 60TH HOUSE.,"1:WILLIAMS, J.S. (DEM);2:CANNON, J.G. (REP)"
1909-03-15 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE FOR THE 61ST CONGRESS. VOTES FOR J.G. CANNON, REPUBLICAN, ARE CODED 2. VOTES FOR C. CLARK DEMOCRAT ARE CODED 1.",TO ELECT A SPEAKER OF THE HOUSE FOR THE 61ST CONGRESS.,"1:C. CLARK DEMOCRAT;2:J.G. CANNON, REPUBLICAN"
1911-01-31 00:00:00,"ON CHOICE OF CONSIDERING THE PANAMA CANAL EXPOSITION RESOLUTION, H.J. RES. 216, OR, THE NEW ORLEANS, LOUISIANA INTERNATIONAL EXPOSITION TO CELEBRATE THE OPENING OF THE PANAMA CANAL BILL H.R. 29362, TO DETERMINE WHICH ONE OF THE ABOVE TWO LEGISLATIVE MATTERS SHOULD BE CONSIDERED AND THEREBY MAKE A CHOICE AS TO THE CITY IN WHICH THE PANAMA CANAL CELEBRATION SHOULD BE HELD. SAN FRANCISCO IS CODED 1, NEW ORLEANS IS CODED 2, OTHER CITIES ARE CODED 8.","ON CHOICE OF CONSIDERING THE PANAMA CANAL EXPOSITION RESOLUTION, H.J. RES. 216, OR, THE NEW ORLEANS, LOUISIANA INTERNATIONAL EXPOSITION TO CELEBRATE THE OPENING OF THE PANAMA CANAL BILL H.R. 29362, TO DETERMINE WHICH ONE OF THE ABOVE TWO LEGISLATIVE MATTERS SHOULD BE CONSIDERED AND THEREBY MAKE A CHOICE AS TO THE CITY IN WHICH THE PANAMA CANAL CELEBRATION SHOULD BE HELD.",1:SAN FRANCISCO;2:NEW ORLEANS;8:OTHER CITIES
1911-04-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE FOR THE 62ND CONGRESS. VOTES FOR C. CLARK DEMOCRAT ARE CODED 1.  VOTES FOR J. R. MANN, REPUBLICAN ARE CODED 2 .  VOTES FOR H. A. COOPER, REPUBLICAN, ARE CODED 5.  VOTES FOR G. W. NORRIS, REPUBLICAN ARE CODED 6.",TO ELECT A SPEAKER OF THE HOUSE FOR THE 62ND CONGRESS.,"1:C. CLARK DEMOCRAT;2:J. R. MANN, REPUBLICAN;5:H. A. COOPER, REPUBLICAN,;6:G. W. NORRIS, REPUBLICAN"
1911-05-11 00:00:00,"TO ELECT A PRESIDENT PRO-TEMPORE VOTES FOR A.O. BACON (D) ARE CODED 1, FOR J.H. GALLINGER (R) ARE CODED 2, AND VOTES FOR OTHERS ARE CODED 8.",TO ELECT A PRESIDENT PRO-TEMPORE.,1:A.O. BACON (D);2:J.H. GALLINGER (R);8:OTHERS
1913-03-13 00:00:00,TO PROCEED TO THE ELECTION OF A PRESIDENT PRO TEMPORE. VOTES FOR CLARKE (DEM.) ARE CODED AS 1; FOR GALLINGER (REP.) AS 2.  VOTES FOR OTHERS ARE CODED AS 8.,TO PROCEED TO THE ELECTION OF A PRESIDENT PRO TEMPORE.,1:CLARKE (DEM.);2:GALLINGER (REP.);8:OTHERS
1913-04-07 00:00:00,"ON ELECTION OF THE SPEAKER OF THE 63RD CONGRESS. VOTES FOR CHAMP CLARK (DEM.) ARE CODED 1; FOR JAMES MANN (REP.) 2; FOR VICTOR MURDOCK, (PROG.), 5. CHAMP CLARK DULY ELECTED SPEAKER.",ON ELECTION OF THE SPEAKER OF THE 63RD CONGRESS. CHAMP CLARK DULY ELECTED SPEAKER.,"1:CHAMP CLARK (DEM.);2:JAMES MANN (REP.);5:VICTOR MURDOCK, (PROG.)"
1915-12-06 00:00:00,TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR CHAMP CLARK (DEM.) ARE CODED 1. VOTES FOR J. R. MANN (REP.) ARE CODED 2.,TO ELECT A SPEAKER OF THE HOUSE.,1:CHAMP CLARK (DEM.);2:J. R. MANN (REP.)
